a52dec 0.7.4-10
python-pycparser 2.20-1
python-pycups 2.0.1-1
python-pycurl 7.43.0.5-1
python-pyhamcrest 1.9.0-5
python-pynacl 1.3.0-3
python-pyparsing 2.4.7-1
python-pyqt5 5.14.2-1
python-pyqt5-sip 12.7.2-1
python-pyrsistent 0.16.0-1
python-pytoml 0.1.21-3
python-pyxdg 0.26-6
python-qtpy 1.9.0-3
python-requests 2.23.0-1
python-retrying 1.3.3-6
python-rsa 4.0-4
python-s3transfer 0.3.3-1
python-setuptools 1:46.1.3-1
python-shiboken2 5.14.2.1-2
python-sip 4.19.22-1
python-sip-pyqt5 4.19.19-3
python-six 1.14.0-1
python-texttable 1.6.2-3
python-toml 0.10.0-3
python-twisted 20.3.0-1
python-urllib3 1.25.9-1
python-webencodings 0.5.1-4
python-websocket-client 0.57.0-1
python-yaml 5.3.1-1
python-zipp 3.1.0-1
python-zope-interface 5.1.0-1
python2 2.7.18-1
python2-cairo 1.18.2-4
python2-dbus 1.2.16-1
python2-gobject 3.36.0-2
python2-gobject2 2.28.7-5
python2-pexpect 4.8.0-1
python2-psutil 5.7.0-1
python2-ptyprocess 0.6.0-4
python2-qtpy 1.8.0-1
qca 2.3.0-1
qemu 4.2.0-2
qhull 2019.1-3
qpdf 10.0.1-1
qqc2-desktop-style 5.69.0-1
qrencode 4.0.2-1
qt5-3d 5.14.2-1
qt5-base 5.14.2-1
qt5-canvas3d 5.12.4-1
qt5-charts 5.14.2-1
qt5-connectivity 5.14.2-1
qt5-datavis3d 5.14.2-1
qt5-declarative 5.14.2-1
qt5-doc 5.14.2-1
qt5-examples 5.14.2-1
qt5-gamepad 5.14.2-1
qt5-graphicaleffects 5.14.2-1
qt5-imageformats 5.14.2-1
qt5-location 5.14.2-1
qt5-lottie 5.14.2-1
qt5-multimedia 5.14.2-1
qt5-networkauth 5.14.2-1
qt5-purchasing 5.14.2-1
qt5-quickcontrols 5.14.2-1
qt5-quickcontrols2 5.14.2-1
qt5-remoteobjects 5.14.2-1
qt5-script 5.14.2-1
qt5-scxml 5.14.2-1
qt5-sensors 5.14.2-1
qt5-serialbus 5.14.2-1
qt5-serialport 5.14.2-1
qt5-speech 5.14.2-1
qt5-styleplugins 5.0.0.20170311-20
qt5-svg 5.14.2-1
qt5-tools 5.14.2-2
qt5-translations 5.14.2-1
qt5-virtualkeyboard 5.14.2-1
qt5-wayland 5.14.2-1
qt5-webchannel 5.14.2-1
qt5-webengine 5.14.2-1
qt5-webglplugin 5.14.2-1
qt5-webkit 5.212.0alpha4-3
qt5-websockets 5.14.2-1
qt5-webview 5.14.2-1
qt5-x11extras 5.14.2-1
qt5-xcb-private-headers 5.14.2-1
qt5-xmlpatterns 5.14.2-1
qt5ct 0.41-2
qtermwidget 0.15.0-1
quazip 0.9-1
ranger 1.9.3-1
rapidjson 1.1.0-4
raptor 2.0.15-12
rasqal 1:0.9.33-2
re2 1:20200401-1
readline 8.0.004-1
reaver 1.6.6-1
redis 6.0.0-1
redland 1:1.0.17-7
reiserfsprogs 3.6.27-3
rest 0.8.1-1
rhash 1.3.9-1
ripgrep 12.0.1-1
rofi 1.5.4-1
rpcbind 1.2.5-3
rsync 3.1.3-3
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-5
ruby 2.7.1-2
ruby-irb 1.2.1-1
ruby-reline 0.0.7-2
rubygems 3.1.2-4
run-parts 4.8.6.1-2
runc 1.0.0rc10-2
rxvt-unicode-terminfo 9.22-9
s-nail 14.9.19-1
samba 4.12.1-1
sane 1.0.29-1
sassc 3.6.1-1
sbc 1.4-1
scrot 1.2-1
sddm 0.18.1-2
sddm-kcm 5.18.4.1-1
sdl 1.2.15-13
sdl2 2.0.12-1
seabios 1.13.0-1
sed 4.8-1
serd 0.30.4-1
shaderc 2020.0-1
shadow 4.8.1-1
shared-color-targets 0.1.7-2
shared-mime-info 1.15-2
signon-kwallet-extension 20.04.0-1
signon-plugin-oauth2 0.24-2
signon-ui 0.17+20171022-2
signond 8.60-1
skypeforlinux-stable-bin 8.49.0.49-1
slack-desktop 4.4.0-2
slang 2.3.2-1
smbclient 4.12.1-1
snappy 1.1.8-1
socat 1.7.3.4-1
solid 5.69.0-1
sonnet 5.69.0-1
sord 0.16.4-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
source-highlight 3.1.9-2
spandsp 0.0.6-2
spectacle 20.04.0-1
speech-dispatcher 0.9.1-3
speedtest-cli 2.1.2-2
speex 1.2.0-2
speexdsp 1.2.0-1
spice 0.14.2-1
spice-gtk 0.37-1
spirv-tools 2020.2-1
spotify 1:1.1.5.153-1
sqlite 3.31.1-1
sratom 0.6.4-1
srt 1.4.1-1
startup-notification 0.12-6
strace 5.6-1
sudo 1.8.31.p1-1
suitesparse 5.7.2-1
sweeper 20.04.0-1
swig 4.0.1-2
syntax-highlighting 5.69.0-1
sysdig 0.26.6-3
sysfsutils 2.1.0-11
sysstat 12.3.2-1
system-config-printer 1.5.12+33+g23b454ef-1
systemd 245.5-2
systemd-libs 245.5-2
systemd-sysvcompat 245.5-2
systemsettings 5.18.4.1-1
t1lib 5.1.2-7
taglib 1.11.1-3
talloc 2.3.1-1
tar 1.32-3
tcl 8.6.10-1
tdb 1.4.3-2
telepathy-farstream 0.6.2-5
telepathy-glib 0.24.1-2
telepathy-qt 0.9.8-1
tepl 4.4.0-1
terminator 1.92-2
termite-terminfo 15-1
terraform 0.12.24-1
tevent 1:0.10.2-1
texinfo 6.7-3
thin-provisioning-tools 0.8.5-3
threadweaver 5.69.0-1
tidy 5.7.16-1
tinycdb 0.78-3
tinyxml 2.6.2-6
tk 8.6.10-1
tlp 1.3.1-2
tmate 2.4.0-1
tmux 3.1_a-1
totem-pl-parser 3.26.5-1
traceroute 2.1.0-5
tree 1.8.0-2
tslib 1.21-1
ttf-anonymous-pro 1.003-4
ttf-arphic-ukai 0.2.20080216.1-7
ttf-arphic-uming 0.2.20080216.1-7
ttf-baekmuk 2.2-11
ttf-bitstream-vera 1.10-12
ttf-caladea 20130214-2
ttf-carlito 20130920-4
ttf-cormorant 3.601-1
ttf-croscore 20190926-4
ttf-dejavu 2.37-2
ttf-droid 20121017-7
ttf-fantasque-sans-mono 1.8.0-2
ttf-fira-code 3.1-1
ttf-fira-mono 2:3.206-3
ttf-fira-sans 1:4.301-1
ttf-font-awesome 5.13.0-1
ttf-hack 3.003-1
ttf-hanazono 20170904-3
ttf-hannom 2005-5
ttf-ibm-plex 4.0.2-2
ttf-inconsolata 1:3.000-2
ttf-indic-otf 0.2-9
ttf-ionicons 5.0.0-1
ttf-junicode 1.002-1
ttf-khmer 5.0-6
ttf-lato 2.015-3
ttf-liberation 2.1.0-1
ttf-linux-libertine 5.3.0-4
ttf-linux-libertine-g 20120116-5
ttf-opensans 1.101-1
ttf-proggy-clean 1.1.5-1
ttf-roboto 2.138-1
ttf-sazanami 20040629-10
ttf-tibetan-machine 1.901-10
ttf-ubuntu-font-family 0.83-5
twolame 0.4.0-2
tzdata 2020a-1
uchardet 0.0.7-1
udisks2 2.8.4-2
unixodbc 2.3.7-2
unoconv 0.9-1
unzip 6.0-14
upower 0.99.11-1
usbmuxd 1.1.0+69+g8a69f1a-1
usbredir 0.8.0-1
usbutils 012-2
user-manager 5.18.4.1-1
util-linux 2.35.1-2
v4l-utils 1.18.0-1
vagrant 2.2.7-5
vde2 2.3.2-13
vi 1:070224-4
vid.stab 1.1-2
vim 8.2.0510-2
vim-a 2.18-9
vim-airline 0.11-1
vim-airline-themes r1386.63b66df-1
vim-ale 2.6.0-1
vim-align 37.43-4
vim-bufexplorer 7.4.19-1
vim-colorsamplerpack 2012.10.28-5
vim-csound 0.8.1-1
vim-ctrlp 1.80-2
vim-doxygentoolkit 0.2.13-4
vim-easymotion 3.0.1-4
vim-fugitive 3.0-1
vim-gitgutter 671.0e509fb-1
vim-guicolorscheme 1.2-5
vim-indent-object 1.1.2-6
vim-jad 1.3_1329-3
vim-jedi 0.10.0-3
vim-jellybeans 1.7-1
vim-latexsuite 1:1.10.0-3
vim-molokai 1.1-6
vim-nerdcommenter 2.5.2-1
vim-nerdtree 6.4.6-1
vim-omnicppcomplete 0.4.1-9
vim-pastie 2.0-9
vim-project 1.4.1-9
vim-runtime 8.2.0510-2
vim-seti 1.0-3
vim-surround 2.1-3
vim-syntastic 3.10.0-1
vim-tabular 1.0.0+5+g339091a-1
vim-tagbar 2.7-2
vim-taglist 46-4
vim-vcscommand 1.99.47-3
vim-vital 1:3113.982e0bf3-1
vim-workspace 1.0b1-9
virglrenderer 0.8.2-1
virtualbox 6.1.6-1
virtualbox-host-dkms 6.1.6-1
vlc 3.0.10-1
volume_key 0.3.12-2
vsqlite++ 0.3.13-6
vte-common 0.60.2-1
vte3 0.60.2-1
vulkan-icd-loader 1.2.137-1
wavpack 5.2.0-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webkit2gtk 2.28.2-1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-5
whois 5.5.6-1
wildmidi 0.4.3-1
wireless_tools 30.pre9-3
woff2 1.0.2-1
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.0-1
x264 3:0.159.r2999.296494a-1
x265 3.3-1
xautolock 2.2-5
xbitmaps 1.1.2-1
xcb-proto 1.14-1
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xdg-dbus-proxy 0.1.2-1
xdg-desktop-portal 1.7.2-1
xdg-desktop-portal-kde 5.18.4.1-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-2
xf86-input-libinput 0.29.0-2
xfsprogs 5.6.0-1
xkeyboard-config 2.29-1
xlockmore 5.61-1
xmlsec 1.2.30-1
xmlto 0.0.28-3
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.5-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-1
xorg-server-common 1.20.8-1
xorg-server-xwayland 1.20.8-1
xorg-setxkbmap 1.3.2-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xhost 1.0.8-1
xorg-xkbcomp 1.4.3-1
xorg-xmessage 1.0.5-1
xorg-xmodmap 1.0.10-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorgproto 2020.1-1
xss-lock 0.3.0.g1e158fb20108-2
xterm 354-1
xvidcore 1.3.7-1
xz 5.2.5-1
yad 6.0-1
yajl 2.1.0-2
yelp-xsl 3.36.0-1
youtube-dl 2020.03.24-1
yubico-c 1.13-5
yubico-c-client 2.15-5
yubikey-personalization 1.20.0-3
zbar 0.23.1-1
zenity 3.32.0+17+gfb0938f-1
zeromq 4.3.2-1
zip 3.0-9
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-4
zsh 5.8-1
zstd 1.4.4-1
zvbi 0.2.35-3
